yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,41.0,42222.95880787037,47.892558,-116.260119,499.37,5858.0,73.05
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,42.0,42222.95881944445,47.893458,-116.262409,498.82,5869.0,76.09
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,43.0,42222.95883101852,47.894337,-116.26471,498.14,5882.0,72.89
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,44.0,42222.95884259259,47.895192,-116.267021,497.33,5897.0,69.2
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,45.0,42222.95885416667,47.896023,-116.26934,496.35,5914.0,67.55
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,46.0,42222.95886574074,47.89683,-116.271667,495.11,5933.0,65.96
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,47.0,42222.95887731481,47.897616,-116.274,493.86,5952.0,64.65
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,48.0,42222.95888888889,47.89838,-116.276341,492.58,5972.0,63.74
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,49.0,42222.95890046296,47.899124,-116.278689,491.31,5991.0,63.42
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,50.0,42222.95891203704,47.899848,-116.281043,490.07,6010.0,63.35
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,51.0,42222.95892361111,47.900554,-116.283402,488.89,6028.0,63.93
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,52.0,42222.95893518518,47.90124,-116.285766,487.76,6047.0,64.26
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,53.0,42222.95894675926,47.901905,-116.288134,486.64,6065.0,64.46
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,54.0,42222.958958333336,47.90255,-116.290507,485.49,6084.0,65.05
