yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,OA_PM1_AMS,Sulfate_PM1_AMS,Nitrate_PM1_AMS,Ammonium_PM1_AMS,BC_mass_90_550_nm,OA_PM1_AMS_ambient,Sulfate_PM1_AMS_ambient,Nitrate_PM1_AMS_ambient,Ammonium_PM1_AMS_ambient,BC_mass_90_550_nm_ambient
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,28.0,42218.91699074074,47.824478,-118.990446,393.81,7604.0,-0.05884,0.23428,0.022396,0.054572,4.03,-0.0250435164541698,0.099714395562252,0.0095321990908835,0.02322696770797,1.7152510419834202
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,29.0,42218.91700231482,47.823808,-118.992704,394.1,7597.0,0.20303,0.25398,0.024438,0.022851,0.0,0.0864496592346906,0.1081440400552959,0.010405638439528,0.0097298978632316,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,30.0,42218.91701388889,47.823151,-118.994969,394.49,7590.0,0.21905,0.37206,0.032479,0.012187,0.87,0.0933557520852748,0.1585662685270366,0.0138420519149858,0.005193912580065,0.3707806633836528
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,31.0,42218.91702546296,47.822512,-118.997242,394.92,7581.0,0.37282,0.18389,0.03335,0.026958,1.14,0.1590060115549729,0.0784282373929616,0.014223621279326,0.0114974627420711,0.4862047453802615
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,32.0,42218.91703703704,47.821896,-118.999529,395.42,7570.0,0.28906,0.26987,0.025478,0.038329,13.72,0.1234190662553181,0.11522557050551,0.010878263924628,0.0163652161852213,5.857986539206275
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,33.0,42218.91704861111,47.821305,-119.001831,396.03,7557.0,-0.041336,0.2967,0.007752,0.011472,3.28,-0.017669962582378,0.1268307987756816,0.0033137591914697,0.0049039532307199,1.4021065722421158
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,34.0,42218.91706018519,47.820744,-119.004149,396.73,7543.0,0.40635,0.42358,0.014825,0.0053343,2.65,0.1739334707498375,0.1813085752189397,0.0063456717210934,0.002283286115469,1.1343021963506077
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,35.0,42218.91707175926,47.820217,-119.006486,397.54,7526.0,0.34203,0.22747,0.026871,0.026919,4.42,0.1466539823829814,0.0975334952274852,0.011521618456314,0.011542199666016,1.8951863933946664
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,36.0,42218.91708333333,47.819728,-119.008845,398.42,7509.0,0.10211,0.23877,0.022459,0.035154,1.48,0.0438721316211292,0.102588863648781,0.0096496347476147,0.015104112378897,0.6358902634342503
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,37.0,42218.91709490741,47.819283,-119.011225,399.36,7490.0,0.065547,0.21886,0.029636,0.03246,0.0,0.028222305277533,0.0942336603206995,0.0127602520207632,0.0139761702184497,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,38.0,42218.91710648148,47.818886,-119.013629,400.38,7471.0,0.24187,0.19935,0.036884,0.031423,0.0,0.1043902677731431,0.0860387806696823,0.0159190087094084,0.0135620597190039,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,39.0,42218.91711805556,47.81854,-119.016055,401.49,7451.0,0.26697,0.23546,0.01494,0.021667,0.86,0.1154596791690749,0.1018321761139843,0.0064612788207887,0.0093705842175388,0.3719343899516967
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,40.0,42218.917129629626,47.818247,-119.018502,402.56,7432.0,0.10183,0.31221,0.028705,0.033102,0.0,0.0441358322741291,0.1353201236797196,0.012441511002935,0.0143472878320556,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,41.0,42218.9171412037,47.818007,-119.020969,403.64,7412.0,0.14737,0.2998,0.046442,0.043786,0.0,0.063996879832147,0.1301911147022981,0.020167897761855,0.0190145034968473,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,42.0,42218.91715277778,47.817819,-119.023451,404.7,7393.0,0.2344,0.2227,0.023154,0.037623,3.02,0.1020049084059821,0.0969133664761613,0.0100760309267581,0.0163725711133031,1.314227062227244
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,43.0,42218.91716435185,47.817684,-119.025947,405.76,7373.0,-0.11032,0.22993,0.006226,0.041827,0.0,-0.0481073334925221,0.1002657649559065,0.0027149769608814,0.018239534427046,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,44.0,42218.917175925926,47.817604,-119.028455,406.81,7355.0,0.13472,0.25368,0.008191,0.021817,0.76,0.0588619391079353,0.1108380100423177,0.0035788163838561,0.0095322960623354,0.3320596327347899
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,45.0,42218.9171875,47.81758,-119.030973,407.88,7336.0,-0.12997,0.28047,0.010336,0.027823,0.0,-0.0569041882063534,0.122796935186858,0.0045253650019302,0.0121816205929473,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,46.0,42218.91719907407,47.817614,-119.033498,408.93,7317.0,0.033975,0.2337,0.013536,0.008067,4.71,0.0149051073053707,0.1025260802727047,0.0059383526853715,0.0035390581495931,2.066315096638593
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,47.0,42218.91721064815,47.817704,-119.036026,409.97,7298.0,0.17472,0.20694,0.014928,0.0113,0.8,0.0768093372871505,0.0909736965327548,0.006562556015468,0.0049676368552243,0.3516911047946452
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,48.0,42218.91722222222,47.817853,-119.038556,410.97,7280.0,0.052943,0.18554,0.050447,0.021845,0.0,0.0233154826369364,0.0817096622491582,0.0222162732105383,0.009620284422943,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,49.0,42218.917233796295,47.81806,-119.041084,411.96,7263.0,0.12552,0.1913,0.036596,0.014817,0.0,0.0553666940581482,0.0843821588059572,0.0161424437201401,0.006535757694866,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,50.0,42218.91724537037,47.818326,-119.043606,412.95,7245.0,0.15502,0.11232,0.027948,0.008976,0.0,0.0685053339130053,0.0496356541421026,0.0123505810359996,0.0039666099677663,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,51.0,42218.91725694444,47.818652,-119.046121,413.91,7229.0,0.20513,0.10775,0.015741,0.000914,0.0,0.0908098565643588,0.0477002975908431,0.0069684490429462,0.0004046224779399,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,52.0,42218.91726851852,47.819036,-119.048625,414.85,7212.0,0.29183,0.15156,0.005273,0.014362,4.81,0.1294232208533555,0.0672151024655949,0.0023385143527387,0.0063693804540173,2.1331792218231165
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,53.0,42218.9172800926,47.81948,-119.051113,415.81,7196.0,0.25215,0.13992,0.021292,0.020514,0.0,0.1120355040177181,0.0621693742699152,0.009460479680925,0.0091147980544099,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,54.0,42218.917291666665,47.819983,-119.053585,416.7,7181.0,0.01249,0.11562,0.043828,0.029622,1.19,0.0055603437798357,0.0514721335327948,0.0195115089817966,0.0131872300597513,0.5297685426745016
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,55.0,42218.91730324074,47.820544,-119.056035,417.57,7166.0,0.15544,0.14334,0.036862,0.016597,2.35,0.0693136067550213,0.0639179901715437,0.0164374560743926,0.0074009130938824,1.0479090058820142
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,56.0,42218.91731481482,47.821164,-119.058462,418.43,7150.0,0.0912,0.1955,0.0232,0.0088,0.0,0.0407515445321757,0.0873566552197407,0.0103666209774833,0.003932166577666,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,59.0,42218.91734953704,47.823373,-119.065566,420.91,7107.0,0.6536,0.5247,0.0132,0.0169,1.63,0.293446600338808,0.2355744051373509,0.0059264001292415,0.0075875880442562,0.7318206220199771
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,0.0,42218.91736111111,47.824224,-119.067865,421.7,7093.0,0.6536,0.5247,0.0132,0.0169,0.0,0.2939159585960704,0.2359511987077083,0.0059358792127725,0.0075997241436254,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,1.0,42218.91737268519,47.825132,-119.070125,422.51,7079.0,0.6536,0.5247,0.0132,0.0169,0.0,0.2943524308542276,0.236301591905161,0.0059446941359788,0.0076110099165184,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,10.0,42218.91747685185,47.835686,-119.088187,429.94,6947.0,0.2856,0.4223,0.0111,0.0901,0.0,0.1304655786845112,0.1929118132999618,0.0050706159782845,0.0411587837516612,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,11.0,42218.91748842593,47.8371,-119.089897,430.85,6930.0,0.36607,0.47609,0.005444,0.090212,0.0,0.1675395852166027,0.2178925372900603,0.0024915603625513,0.041287406948289,0.0
