yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO_CL
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,46.0,42218.91719907407,47.817614,-119.033498,408.93,7317.0,-0.00158
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,47.0,42218.91721064815,47.817704,-119.036026,409.97,7298.0,-0.00465
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,48.0,42218.91722222222,47.817853,-119.038556,410.97,7280.0,0.00259
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,49.0,42218.917233796295,47.81806,-119.041084,411.96,7263.0,-0.01083
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,50.0,42218.91724537037,47.818326,-119.043606,412.95,7245.0,-0.00597
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,51.0,42218.91725694444,47.818652,-119.046121,413.91,7229.0,-0.01032
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,52.0,42218.91726851852,47.819036,-119.048625,414.85,7212.0,-0.00871
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,53.0,42218.9172800926,47.81948,-119.051113,415.81,7196.0,0.00077
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,54.0,42218.917291666665,47.819983,-119.053585,416.7,7181.0,-0.00618
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,55.0,42218.91730324074,47.820544,-119.056035,417.57,7166.0,-0.01026
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,56.0,42218.91731481482,47.821164,-119.058462,418.43,7150.0,-0.0016
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,57.0,42218.91732638889,47.821842,-119.060861,419.27,7136.0,-0.00836
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,58.0,42218.917337962965,47.822579,-119.06323,420.1,7121.0,-0.00767
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,59.0,42218.91734953704,47.823373,-119.065566,420.91,7107.0,0.00032
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,0.0,42218.91736111111,47.824224,-119.067865,421.7,7093.0,-0.00127
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,1.0,42218.91737268519,47.825132,-119.070125,422.51,7079.0,0.00183
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,2.0,42218.91738425926,47.826095,-119.072341,423.32,7065.0,-5e-05
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,3.0,42218.91739583333,47.827113,-119.074512,424.12,7051.0,-0.00125
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,4.0,42218.91740740741,47.828186,-119.076634,424.91,7037.0,0.006
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,5.0,42218.91741898148,47.829311,-119.078703,425.71,7023.0,-0.00195
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,6.0,42218.91743055556,47.830488,-119.080718,426.55,7008.0,0.00419
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,7.0,42218.91744212963,47.831716,-119.082676,427.37,6994.0,-0.00414
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,8.0,42218.9174537037,47.832992,-119.084575,428.2,6979.0,0.00413
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,9.0,42218.91746527778,47.834316,-119.086413,429.06,6963.0,-0.00712
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,10.0,42218.91747685185,47.835686,-119.088187,429.94,6947.0,-0.01532
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,11.0,42218.91748842593,47.8371,-119.089897,430.85,6930.0,0.01669
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,12.0,42218.9175,47.838556,-119.091541,431.86,6912.0,-0.00845
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,13.0,42218.91751157407,47.840053,-119.09312,432.95,6893.0,0.00575
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,14.0,42218.91752314815,47.841589,-119.094632,434.11,6873.0,0.00358
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,15.0,42218.91753472222,47.843162,-119.096075,435.31,6853.0,-0.00574
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,16.0,42218.917546296296,47.844773,-119.097448,436.53,6832.0,-0.00408
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,17.0,42218.91755787037,47.846417,-119.098753,437.75,6810.0,-0.00459
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,18.0,42218.91756944444,47.848092,-119.099993,438.98,6789.0,-0.00161
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,19.0,42218.91758101852,47.849795,-119.101172,440.22,6769.0,-0.00915
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,20.0,42218.9175925926,47.851521,-119.102294,441.49,6749.0,0.00052
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,21.0,42218.917604166665,47.853269,-119.103363,442.67,6729.0,-0.00357
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,22.0,42218.91761574074,47.855035,-119.104383,443.8,6711.0,-0.00194
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,23.0,42218.91762731481,47.856817,-119.105359,444.79,6695.0,0.01013
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,24.0,42218.91763888889,47.858611,-119.106297,445.71,6680.0,-0.01232
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,25.0,42218.917650462965,47.860415,-119.107204,446.62,6666.0,0.00474
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,26.0,42218.91766203704,47.862227,-119.108085,447.47,6653.0,0.00214
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,27.0,42218.91767361111,47.864046,-119.10894,448.28,6641.0,-0.00118
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,28.0,42218.91768518519,47.865869,-119.109773,449.0,6630.0,-0.00989
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,29.0,42218.91769675926,47.867696,-119.110586,449.66,6619.0,-0.0075
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,30.0,42218.91770833333,47.869526,-119.111384,450.27,6609.0,-0.00028
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,31.0,42218.91771990741,47.871358,-119.112165,450.82,6599.0,-0.00872
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,32.0,42218.91773148148,47.873191,-119.112936,451.35,6588.0,0.00379
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,33.0,42218.91774305556,47.876108,-119.114144,452.0,6576.0,-0.00809
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,34.0,42218.91775462963,47.87686,-119.114452,452.74,6564.0,-0.00834
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,35.0,42218.9177662037,47.878695,-119.1152,453.49,6551.0,-0.00547
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,36.0,42218.91777777778,47.880531,-119.115939,454.25,6538.0,-0.00198
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,37.0,42218.91778935185,47.882369,-119.116669,455.04,6525.0,0.0032
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,38.0,42218.91780092593,47.884208,-119.117392,455.82,6512.0,0.01281
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,39.0,42218.9178125,47.886049,-119.118112,456.63,6497.0,0.01179
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,40.0,42218.91782407407,47.887889,-119.11883,457.47,6483.0,0.01311
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,41.0,42218.91783564815,47.88973,-119.119547,458.36,6467.0,0.0069
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,42.0,42218.91784722222,47.891572,-119.120265,459.28,6451.0,0.00442
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,43.0,42218.917858796296,47.893415,-119.120983,460.31,6434.0,0.0419
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,44.0,42218.91787037037,47.895259,-119.121699,461.37,6417.0,0.01949
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,45.0,42218.91788194444,47.897105,-119.122415,462.48,6399.0,0.02393
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,46.0,42218.91789351852,47.898953,-119.123131,463.56,6381.0,0.02357
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,47.0,42218.9179050926,47.900802,-119.123848,464.71,6364.0,0.02539
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,48.0,42218.917916666665,47.902653,-119.124565,465.79,6346.0,0.01999
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,49.0,42218.91792824074,47.904505,-119.125281,466.86,6328.0,0.01271
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,50.0,42218.91793981481,47.906359,-119.125997,467.92,6311.0,0.01609
20190803,2019-08-03,2019.0,8.0,3.0,22.0,1.0,51.0,42218.91795138889,47.908214,-119.126715,468.98,6294.0,0.02054
