yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,1.0,42218.91667824074,47.843446,-118.929772,393.28,7615.0,87.45
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,2.0,42218.91668981482,47.842744,-118.932022,393.3,7615.0,87.41
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,3.0,42218.91670138889,47.842041,-118.934272,393.3,7614.0,87.36
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,4.0,42218.91671296296,47.841338,-118.936522,393.32,7614.0,87.42
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,5.0,42218.91672453703,47.840635,-118.938771,393.35,7614.0,87.4
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,6.0,42218.91673611111,47.839931,-118.94102,393.35,7613.0,87.51
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,7.0,42218.91674768519,47.839227,-118.943269,393.37,7613.0,87.46
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,8.0,42218.91675925926,47.838522,-118.945517,393.37,7613.0,87.53
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,9.0,42218.91677083333,47.837817,-118.947765,393.39,7613.0,87.48
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,10.0,42218.91678240741,47.837113,-118.950013,393.39,7613.0,87.39
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,11.0,42218.91679398148,47.836407,-118.95226,393.42,7613.0,87.52
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,12.0,42218.91680555556,47.835702,-118.954507,393.42,7613.0,87.46
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,13.0,42218.916817129626,47.834996,-118.956754,393.42,7613.0,87.5
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,14.0,42218.9168287037,47.834291,-118.959,393.42,7613.0,87.44
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,15.0,42218.91684027778,47.833585,-118.961246,393.4,7613.0,87.41
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,16.0,42218.91685185185,47.83288,-118.963492,393.4,7614.0,87.31
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,17.0,42218.916863425926,47.832175,-118.965738,393.39,7614.0,87.22
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,18.0,42218.916875,47.83147,-118.967983,393.37,7614.0,87.07
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,19.0,42218.91688657407,47.830766,-118.970228,393.37,7615.0,86.96
