0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
,,,,,,,,7.077673917765449,7.129112302979726,7.150057193490662,7.159932485244204,7.15916526355801,7.1505579825925105,7.138252557006327,7.119642903931504,7.099189352183557,7.078725863718303,7.058257466947764,7.061284901998717,7.106655009602219,7.152025117205722,7.286745697602643,7.453990377505066,7.621235057407488,7.861386936034302,8.122250462055835,8.383113988077367,8.913703727081248,9.751703081163974,10.589702435246696,11.427701789329424,11.649420397557193,11.675577467584366,11.70173453761154,11.727891607638712,11.711126633822447,11.666398296905319,11.621669959988191,11.576941623071063,11.532213286153935,11.297129503665158,11.051433880185257,10.805738256705357,10.560042633225455,10.314347009745555,9.87172059422761,9.345587741478253,8.819454888728886,8.29332203597953,7.767189183230168,7.241056330480802,6.856899237863844,6.502884293856543,6.148869349849249,5.794854405841951,5.440839461834651,5.086824517827357,4.7797644173127765,4.490017160765567,4.200269904218355,3.9105226476711406,3.6207753911239315,3.3310281345767168,3.1334816655062077,2.954635840491725,2.77579001547724,2.5969441904627586,2.418098365448274,2.2611477929600117,2.217411198166741,2.17367460337347,2.1299380085801998,2.0862014137869287,2.0424648189936585,1.9988886434867015,1.9553832210073545,1.9118777985280084,1.8683723760486615,1.8248669535693154,1.7652567274585707,1.6810983077848671,1.5969398881111623,1.5127814684374603,1.428623048763757,1.3202906579274958,1.157541759149403,0.9947928603713072,0.8320439615932175,0.6692950628151249,0.5621237388580551,0.5309967785803497,0.49986981830264365,0.46874285802493876,0.4376158977472333,0.4185888014587775,0.40388678150054214,0.3891847615423071,0.3744827415840723,0.3561555889757393,0.32761586721434166,0.2990761454529435,0.27053642369154585,0.24199670193014872,0.22435994376207935,0.2067927347987716,0.18922552583546354,0.17165831687215577,0.16281067601932894,0.1562870740043797,0.14976347198943044,0.14323986997448107,0.1380178328780953,0.1331636526438679,0.1283094724096404,0.12345529217541293,0.11851626544078757,0.11356711530690602,0.10861796517302458,0.10366881503914305,0.09967953159122166,0.09595304481425389,0.0922265580372862,0.08850007126031857,0.08484334849872237,0.08127883576257194,0.07771432302642145,0.07414981029027103,0.07058529755412067,0.06717511492370816,0.06380622881119512,0.06043734269868202,0.057068456586168985,0.053699570473656005,0.05163230794163924,0.04991819923606616,0.04820409053049305,0.04648998182491997,0.04477587311934693,0.043314306964583674,0.042371165655888644,0.0414280243471936
,,,,,,,,7.219302932947482,7.274573140292416,7.307518512099303,7.331205273446077,7.346691242516506,7.353253990895424,7.356743161577377,7.352353026826362,7.3464387121704275,7.371160775741793,7.407025699280153,7.4667461765555485,7.55936900348689,7.651991830418232,7.762082024831487,7.876660944252472,7.9912398636734565,8.225069177730841,8.481703309356018,8.738337440981196,9.243666288904986,9.973372790583056,10.703079292261123,11.432785793939193,11.602591762444401,11.644756616800942,11.686921471157483,11.729086325514023,11.71077962704453,11.660869452287372,11.610959277530213,11.561049102773056,11.511138928015898,11.268985941714025,11.025610827838047,10.782235713962066,10.538860600086085,10.295485486210106,9.842907109646157,9.31810664568069,8.793306181715213,8.268505717749747,7.743705253784276,7.218904789818799,6.8439323502792435,6.493289163316457,6.142645976353677,5.792002789390893,5.441359602428107,5.090716415465327,4.783323112899122,4.489556436353732,4.1957897598083385,3.902023083262943,3.608256406717553,3.3144897301721574,3.120638752678008,2.943598085460086,2.7665574182421624,2.589516751024242,2.412476083806318,2.259627393724749,2.21552154777258,2.1714157018204108,2.127309855868242,2.0832040099160727,2.039098163963904,1.9962932868903278,1.9540204100953211,1.911747533300315,1.8694746565053086,1.8272017797103026,1.7695552029737749,1.6896407863496645,1.6097263697255526,1.5298119531014438,1.4498975364773334,1.3419580182791473,1.1736014156204262,1.005244812961702,0.8368882103029839,0.6685316076442627,0.5593620756618582,0.5289534091339042,0.4985447426059495,0.4681360760779959,0.4377274095500418,0.4187355203841689,0.4037247854407623,0.38871405049735597,0.3737033155539499,0.3550951312102123,0.32651525642267964,0.29793538163514655,0.2693555068476139,0.2407756320600818,0.2234823147272994,0.20623922424462976,0.18899613376195978,0.17175304327929014,0.16300126080078875,0.15649874055087243,0.14999622030095613,0.1434937000510397,0.13829164682627493,0.13345614221590624,0.12862063760553746,0.1237851329951687,0.11881198413170017,0.11382244419586826,0.10883290426003643,0.10384336432420452,0.09983193432829758,0.09608811964992153,0.09234430497154555,0.08860049029316963,0.08492280710858859,0.08133248793297002,0.07774216875735138,0.0741518495817328,0.0705615304061143,0.06714826972596066,0.06378237272808333,0.06041647573020594,0.05705057873232861,0.053684681734451345,0.051619372992603434,0.04990720817931175,0.048195043366020034,0.04648287855272835,0.044770713739436696,0.04331023340771991,0.04236689608284474,0.04142355875796955
,,,,,,,,7.284191469254068,7.34320517355153,7.384427658957744,7.418052457792602,7.445442516972606,7.464219441709846,7.480624709652701,7.4870672151002085,7.49212966015804,7.538630494803067,7.597249575693865,7.715404718418477,7.9032711207526,8.091137523086724,8.187549675167169,8.26594944398596,8.344349212804751,8.597402817766138,8.874632440136097,9.151862062506057,9.624358916400043,10.248297762815708,10.872236609231372,11.496175455647037,11.621278067050683,11.658194029585573,11.69510999212046,11.73202595465535,11.705746069129024,11.65100917771705,11.596272286305076,11.541535394893103,11.48243567966565,11.240825314315737,10.999214948965829,10.757604583615919,10.515994218266009,10.274383852916097,9.815550603784269,9.291681068264914,8.76781153274555,8.243941997226196,7.720072461706838,7.196202926187475,6.828946971862078,6.4824783672626864,6.136009762663301,5.789541158063912,5.44307255346452,5.096603948865134,4.7877828977582055,4.489623004776061,4.191463111793915,3.8933032188117664,3.595143325829623,3.296983432847474,3.106201787615383,2.9312478944542284,2.756294001293072,2.581340108131919,2.406386214970763,2.256851594740897,2.212571997192989,2.1682923996450807,2.124012802097173,2.0797332045492647,2.035453607001357,1.9934042619637926,1.9522236076628212,1.9110429533618507,1.8698622990608793,1.8286816447599088,1.7730583963218536,1.697167602270395,1.621276808218935,1.545386014167478,1.4694952201160194,1.362079812779338,1.1884841579649652,1.014888503150589,0.8412928483362193,0.6676971935218464,0.5566328872066156,0.5273623550317108,0.49809182285680553,0.46882129068190126,0.43955075850699643,0.42030222048411425,0.4044953252640531,0.3886884300439922,0.3728815348239315,0.3536717414126867,0.32512005084929163,0.296568360285896,0.26801666972250093,0.23946497915910636,0.22253045254271148,0.20563483161386353,0.1887392106850153,0.17184358975616737,0.163185836875317,0.15670315970271356,0.15022048253011014,0.1437378053575066,0.13856446890541363,0.1337597578563246,0.1289550468072355,0.12415033575814638,0.11913942003265203,0.11410396014272298,0.10906850025279399,0.10403304036286494,0.09998957260499254,0.09621747120051183,0.09244536979603118,0.0886732683915506,0.08497090641313608,0.08136064334302794,0.07775038027291972,0.07414011720281158,0.07052985413270349,0.06711583734628297,0.06375430436334452,0.060392771380405996,0.05703123839746753,0.05366970541452913,0.05160684433932105,0.04989692203337737,0.04818699972743365,0.046477077421489967,0.04476715511554632,0.043307934669343434,0.04236429898860115,0.041420663307858846
,,,,,,,,7.195107905676329,7.251486673631595,7.296431352528511,7.335704633747321,7.371111989419094,7.398736211849436,7.425212242661146,7.436599587100885,7.447434725576636,7.484722495857055,7.526357273281845,7.695219622845369,7.970624818621548,8.246030014397729,8.351515440053685,8.441647164730176,8.531778889406667,8.809202037192527,9.094914605320781,9.380627173449037,9.853056363330445,10.430878292817491,11.008700222304533,11.586522151791579,11.65790834495719,11.68627492711256,11.714641509267928,11.743008091423295,11.705168094298141,11.646008657737218,11.586849221176294,11.52768978461537,11.453440187229576,11.21517887460394,10.976917561978306,10.738656249352672,10.500394936727037,10.262133624101402,9.789789094480593,9.267330797813962,8.744872501147322,8.22241420448069,7.699955907814055,7.177497611147415,6.820902185418677,6.476891724842362,6.132881264266053,5.788870803689741,5.444860343113426,5.100849882537117,4.791340440291516,4.489474432552101,4.187608424812684,3.8857424170732635,3.5838764093338487,3.2820104015944285,3.0959378684504975,2.922144074183731,2.7483502799169632,2.5745564856501986,2.400762691383431,2.255524821336933,2.210915042210167,2.1663052630834003,2.121695483956635,2.0770857048298685,2.032475925703103,1.9911571975800286,1.9509895814496778,1.910821965319328,1.870654349188977,1.8304867330586272,1.7756215072384596,1.701481455477896,1.627341403717331,1.5532013519567687,1.4790613001962052,1.370475576222722,1.19358961618532,1.0167036561479144,0.839817696110515,0.6629317360731127,0.5521551195103116,0.5246430149392745,0.4971309103682369,0.4696188057972004,0.4421067012261633,0.4226757390070441,0.40592431430912174,0.3891728896111997,0.372421464913278,0.3524931425168574,0.3240390093159286,0.29558487611499923,0.26713074291407035,0.23867660971314203,0.2220179911042299,0.20536530658782454,0.1887126220714189,0.17205993755501353,0.16347802484175433,0.1570056949966115,0.15053336515146867,0.14406103530632572,0.13893529045446087,0.13418661324110795,0.12943793602775494,0.12468925881440193,0.11962669965119727,0.1145270050664907,0.10942731048178422,0.10432761589707766,0.10024743057963956,0.09644533786248054,0.09264324514532159,0.0888411524281627,0.08510318576125737,0.08144973492496642,0.0777962840886754,0.07414283325238444,0.07048938241609354,0.06706895924459759,0.06371070160395888,0.0603524439633201,0.05699418632268139,0.053635928682042734,0.05157906871382663,0.04987530121122724,0.048171533708627826,0.04646776620602844,0.04476399870342908,0.04330890208440172,0.04236451347270325,0.04142012486100476
,,,,,,,,7.102390696564255,7.157157131589287,7.201441168755438,7.240641065861505,7.277070701002695,7.305815300314748,7.332705430829487,7.348695851149278,7.366516920289277,7.4320950760176965,7.497673231746115,7.694257364314576,7.942063169585824,8.177386648797311,8.282336366538283,8.387286084279255,8.515797343418452,8.81355428444346,9.111311225468473,9.409068166493483,9.921622233604321,10.488994545369366,11.056366857134407,11.586497900146615,11.627252468114797,11.66800703608298,11.708761604051164,11.749516172019346,11.704398577984382,11.64926064280511,11.594122707625841,11.538984772446572,11.446577045642773,11.21538034317737,10.984183640711972,10.752986938246574,10.521790235781173,10.290593533315773,9.78685695693838,9.265012456014482,8.743167955090573,8.221323454166676,7.699478953242773,7.182586966335143,6.835049044008312,6.487511121681475,6.139973199354645,5.792435277027812,5.444897354700974,5.097359432374144,4.789567959663333,4.4860801263093775,4.182592292955419,3.8791044596014572,3.575616626247502,3.2721287928935405,3.093750752971812,2.9187477085011806,2.743744664030548,2.568741619559918,2.393738575089285,2.254927047578976,2.2101158412155426,2.165304634852109,2.1204934284886763,2.0756822221252422,2.0308710157618095,1.9899436061443816,1.9500700404156837,1.9101964746869862,1.870322908958288,1.8304493432295907,1.773705805923792,1.6978263553902284,1.6219469048566637,1.5460674543231014,1.470188003789538,1.3587374861893122,1.1848167357966226,1.0108959854039299,0.8369752350112436,0.6630544846185541,0.5573058798476169,0.5305739539465859,0.5038420280455544,0.477110102144524,0.45037817624349297,0.42977829200136797,0.4110531502255546,0.3923280084497416,0.37360286667392895,0.35222212464625824,0.32407330427453745,0.29592448390281617,0.2677756635310954,0.2396994599885396,0.22294636611063634,0.2061932722327331,0.1894401783548295,0.17268708447692627,0.16410927659039873,0.15761210447851173,0.15111493236662474,0.14461776025473763,0.13962866571894225,0.13505513064424698,0.1304815955695516,0.12590806049485626,0.12073088307219725,0.11548373433793759,0.11023658560367802,0.10498943686941836,0.1008126249693259,0.09692495252045835,0.09303728007159087,0.08914960762272346,0.08532308398489331,0.08157668710419932,0.07783029022350527,0.07408389334281129,0.07033749646211737,0.0669068647261892,0.06355993711520619,0.060213009504223106,0.05686608189324009,0.053519154282257134,0.051484375199077295,0.04980395335817905,0.04812353151728077,0.04644310967638252,0.0447626878354843,0.043323488128327044,0.042377753728460026,0.041432019328592994
,,,,,,,,7.011312043506237,7.067206632895419,7.112888569430666,7.151144629198425,7.185276139809282,7.211521557728462,7.236808711541493,7.26030927522549,7.3206252547289035,7.498962386086548,7.677299517444191,7.789706202224301,7.896066038255239,8.008782524212572,8.137894187616524,8.267005851020475,8.453883933703233,8.770672699089921,9.087461464476611,9.404250229863301,9.952601819105514,10.507049145785103,11.061496472464693,11.498361320395876,11.561024203271415,11.623687086146955,11.686349969022496,11.743656947710337,11.70530476346571,11.666952579221084,11.628600394976457,11.590248210731831,11.48416736928298,11.255693135114107,11.02721890094524,10.79874466677637,10.570270432607499,10.322308977072801,9.803713223656487,9.285117470240184,8.76652171682387,8.247925963407567,7.729330209991259,7.2336087397863285,6.877356033785767,6.521103327785198,6.164850621784637,5.8085979157840715,5.452345209783504,5.096092503782941,4.793170183812467,4.4903731716554764,4.187576159498484,3.8847791473414874,3.5819821351844965,3.2857780293183034,3.1064161838399205,2.927054338361536,2.74769249288315,2.568330647404767,2.388968801926381,2.2558414358831853,2.2110676571586403,2.1662938784340944,2.12152009970955,2.076746320985004,2.0319725422604593,1.9911580461166278,1.951100465148758,1.9110428841808886,1.8709853032130186,1.8309277222451494,1.7697625447790166,1.688355929986872,1.606949315194726,1.525542700402583,1.4441360856104386,1.3298721551402677,1.1653686494183542,1.0008651436964375,0.8363616379745269,0.6718581322526133,0.5742839369529432,0.5469524332956178,0.5196209296382919,0.492289425980967,0.4649579223236416,0.4421765107034773,0.42064704922321255,0.39911758774294814,0.37758812626268423,0.35423909157301087,0.326544284997031,0.2988494784210506,0.27115467184507075,0.2436233097159906,0.22622818707211265,0.20883306442823468,0.19143794178435639,0.17404281914047842,0.16532556456147912,0.15872604690079484,0.15212652924011053,0.14552701157942613,0.14077886763372782,0.13652603001176045,0.13227319238979296,0.1280203547678255,0.1226392117209646,0.11713304900436318,0.11162688628776186,0.10612072357116045,0.10175822364361528,0.09769772169400508,0.09363721974439496,0.0895767177947849,0.08558955433978489,0.08169719153279535,0.07780482872580573,0.07391246591881619,0.07002010311182671,0.06657942203824889,0.06325660334560135,0.05993378465295375,0.05661096596030621,0.053288147267658736,0.05129681844453498,0.049660870713484774,0.048024922982434534,0.04638897525138433,0.044753027520334145,0.04334478224178586,0.042398703924456556,0.04145262560712723
,,,,,,,,6.977113869670927,7.038296828743768,7.087856569571013,7.1239014499121245,7.152991509693143,7.173701941128758,7.199390271071846,7.229309291096895,7.33181195882227,7.531934230905063,7.715768788141225,7.754477307580715,7.7931858270202055,7.879858965894135,8.022992533162409,8.166126100430684,8.397941493889835,8.725212293779968,9.052483093670102,9.41036429534969,9.955060769841683,10.499757244333674,11.044453718825661,11.405339994250506,11.487007217753723,11.56867444125694,11.650341664760155,11.713470472200031,11.702822300021564,11.6921741278431,11.681525955664632,11.670877783486167,11.554675267227868,11.329339541638754,11.104003816049644,10.878668090460533,10.65333236487142,10.374353773632203,9.863997045968652,9.353640318305109,8.843283590641558,8.332926862978017,7.82257013531447,7.346590986006925,6.975871397876984,6.605151809747037,6.234432221617096,5.863712633487152,5.4929930453572045,5.128358950731833,4.827282713249472,4.5262064757671165,4.225130238284759,3.924054000802398,3.6229777633200424,3.3363931286000366,3.147686606388023,2.958980084176008,2.770273561963991,2.5815670397519774,2.3928605175399604,2.262440506869025,2.2172485227569467,2.1720565386448683,2.12686455453279,2.0816725704207117,2.0364805863086337,1.9952537274667579,1.9545148330269004,1.9137759385870436,1.873037044147186,1.8322981497073294,1.7642859680485634,1.6740617774031605,1.5838375867577559,1.4936133961123546,1.4033892054669517,1.2873766736642906,1.1368100430225416,0.9862434123807899,0.8356767817390437,0.6851101510972948,0.5968899904107645,0.5679528133572561,0.5390156363037472,0.5100784592502393,0.4811412821967309,0.4561255063836257,0.4320718776516119,0.4080182489195986,0.3839646201875857,0.3589507162135733,0.3317922042481038,0.3046336922826338,0.27747518031716434,0.25054361448403906,0.23193584752958438,0.21332808057512972,0.1947203136206747,0.17611254666622006,0.16708224523556134,0.16026956054160246,0.15345687584764356,0.14664419115368457,0.14219052298002102,0.13834305165877328,0.13449558033752546,0.13064810901627763,0.12500703677894623,0.11918033520383238,0.11335363362871864,0.10752693205360478,0.10291455968577227,0.09861186516609424,0.09430917064641628,0.0900064761267384,0.08581346918599887,0.08175927816803558,0.07770508715007221,0.07365089613210893,0.06959670511414572,0.06615089733524028,0.06285967027657327,0.05956844321790619,0.05627721615923918,0.05298598910057223,0.05105112697646441,0.049470872752765536,0.047890618529066634,0.04631036430536776,0.04473011008166891,0.04336117018774203,0.04241610672383003,0.041471043259918024
,,,,,,,6.888233425215282,6.970284062059721,7.0227322090093995,7.056890484731613,7.084593344757861,7.103574594709348,7.128299142867995,7.165657631275986,7.209154546942602,7.2795482242324505,7.349941901522299,7.405970265596927,7.4593455922338086,7.526738091183568,7.657143678289073,7.7875492653945795,7.950487968456369,8.262687952622073,8.574887936787777,8.887087920953482,9.3575631618639,9.865725543736103,10.373887925608301,10.872583559706573,11.048791503248808,11.224999446791042,11.401207390333276,11.57741533387551,11.642496154037433,11.678193516203995,11.713890878370558,11.749588240537122,11.777893965368056,11.583976425699051,11.390058886030042,11.196141346361037,11.00222380669203,10.808306267023022,10.412712377570008,9.918361617235082,9.424010856900164,8.929660096565238,8.435309336230322,7.940958575895399,7.507773652244176,7.105335873775219,6.702898095306253,6.300460316837295,5.898022538368334,5.495584759899368,5.1427674433810715,4.852427977035996,4.562088510690925,4.271749044345851,3.9814095780007754,3.691070111655705,3.4356792394940907,3.2275246014376884,3.0193699633812843,2.8112153253248784,2.603060687268476,2.3949060492120706,2.2887251898308287,2.237700839729399,2.186676489627969,2.13565213952654,2.08462778942511,2.034375827283755,1.99238978277834,1.9504037382729242,1.9084176937675095,1.8664316492620938,1.8244456047566788,1.741343290282087,1.640971882686932,1.540600475091775,1.4402290674966218,1.3398576599014669,1.2156736449478223,1.0715885218049714,0.927503398662118,0.7834182755192696,0.6393331523764187,0.5675959936454017,0.5440567511943158,0.5205175087432296,0.4969782662921441,0.47343902384105824,0.451044534436892,0.42882667502316135,0.40660881560943113,0.3843909561957013,0.3611505039177817,0.3360403371301606,0.31093017034253917,0.2858200035549181,0.2609868400436343,0.240797309350795,0.2206077786579557,0.200418247965116,0.18022871727227668,0.1705780319998189,0.16307104496333705,0.15556405792685515,0.14805707089037315,0.1437594306385139,0.14022703436656425,0.13669463809461457,0.13316224182266487,0.1272859700461802,0.12119019851475674,0.11509442698333339,0.10899865545190993,0.10407696762267987,0.09944224122312843,0.09480751482357709,0.09017278842402582,0.08575662922579319,0.08161004882206803,0.07746346841834278,0.07331688801461762,0.06917030761089253,0.06575096608584088,0.06250980854108644,0.05926865099633193,0.05602749345157748,0.05278633590682309,0.050898690748151516,0.049354213920026126,0.04780973709190071,0.04626526026377532,0.044720783435649954,0.043377479325606205,0.042430887895811405,0.04148429646601658
,,,,,,6.812406790286178,6.899163728274609,6.945680298713743,6.971814220568027,6.988899857233757,6.996381012611063,7.004304957958878,7.015011056260623,7.025717154562368,7.018207663048427,7.010639777135894,7.026108735321526,7.054668235699359,7.083227736077193,7.185643399504207,7.291666397123391,7.397689394742574,7.6842967506727105,7.985946175070513,8.287595599468315,8.693695903959053,9.19663435313974,9.699572802320427,10.202511251501111,10.518807828980387,10.755691366740889,10.99257490450139,11.229458442261894,11.412125112943807,11.519765830750682,11.627406548557557,11.735047266364433,11.84268798417131,11.788069183195066,11.629003719579755,11.46993825596444,11.31087279234913,11.151807328733817,10.935994749353036,10.472827700254891,10.009660651156743,9.546493602058602,9.083326552960454,8.620159503862315,8.159287861223692,7.716463865463924,7.273639869704163,6.830815873944394,6.387991878184633,5.945167882424869,5.502343886665099,5.19005378188558,4.906086863795145,4.622119945704715,4.338153027614283,4.0541861095238465,3.7702191914334167,3.5297632976527162,3.304483126358724,3.07920295506473,2.8539227837707344,2.6286426124767424,2.403362441182746,2.3279152462385913,2.267612054422821,2.20730886260705,2.1470056707912804,2.0867024789755093,2.0315597710135416,1.9888264614572806,1.9460931519010196,1.9033598423447593,1.860626532788498,1.8178932232322378,1.718386859992496,1.610221958331739,1.50205705667098,1.3938921550102248,1.285727253349468,1.154154863896169,1.011054961965272,0.8679550600343727,0.7248551581034786,0.5817552561725817,0.525137386596339,0.5067182799844805,0.48829917337262163,0.46988006676076344,0.4514609601489049,0.4336211848265381,0.41582238204706723,0.39802357926759663,0.38022477648812636,0.360850664334409,0.33912233340166403,0.3173940024689187,0.29566567153617374,0.27392875907134673,0.2521031546193795,0.23027755016741228,0.20845194571544465,0.1866263412634774,0.17601988000082686,0.16736999299023997,0.15872010597965308,0.15007021896906603,0.14571293562153428,0.14229480864477057,0.13887668166800682,0.13545855469124304,0.12934409114463494,0.12300591657065969,0.11666774199668456,0.11032956742270932,0.10510646888759861,0.1001430164554822,0.09517956402336587,0.09021611159124963,0.08559614785893407,0.081387716306615,0.07717928475429586,0.07297085320197678,0.06876242164965779,0.06538873695199891,0.06221072656066427,0.05903271616932957,0.05585470577799492,0.05267669538666034,0.050827465555123505,0.049302072065446914,0.047776678575770296,0.046251285086093705,0.04472589159641715,0.04339689132533122,0.04244633915766377,0.04149578698999631
,,,,,,6.858834556461563,6.906334149106286,6.931139536842893,6.934926525803078,6.930165093410136,6.915671241506505,6.894981066542335,6.868771035432595,6.839646199648223,6.805791456266483,6.772114997212727,6.751548309297117,6.730981621381509,6.736448758376971,6.797682106999405,6.8589154556218395,6.981108485877841,7.264442720556861,7.54777695523588,7.831111189914899,8.343428859073697,8.89487154159318,9.446314224112662,9.992184801966236,10.234121045669065,10.476057289371894,10.717993533074724,10.959929776777553,11.15243283257759,11.325209482246219,11.497986131914848,11.670762781583477,11.843539431252108,11.75757967237362,11.636118989821464,11.514658307269306,11.39319762471715,11.271736942164994,11.021048738469553,10.598764841080675,10.176480943691795,9.75419704630292,9.33191314891404,8.909629251525168,8.467632023265615,7.984553978374676,7.501475933483745,7.018397888592805,6.535319843701874,6.052241798810938,5.56945384135756,5.2835082177675226,4.99756259417748,4.711616970587442,4.425671346997402,4.139725723407359,3.8537800998173215,3.6148437409584178,3.3815858820671134,3.148328023175807,2.915070164284498,2.681812305393194,2.45382602652494,2.381595988448618,2.3093659503722956,2.2371359122959724,2.1649058742196505,2.0926758361433277,2.0317562708313135,1.9881997856729499,1.9446433005145862,1.9010868153562233,1.8575303301978594,1.8139738450394964,1.7047213141637363,1.5918179869068023,1.4789146596498663,1.3660113323929344,1.2531080051360004,1.1175578630611576,0.9737065395149185,0.8298552159686767,0.6860038924224403,0.5421525688762012,0.4911770717938195,0.47276199793084656,0.4543469240678733,0.4359318502049008,0.41751677634192785,0.40526639870151143,0.3932148490462993,0.3811632993910873,0.36911174973587557,0.3551805627390323,0.33872153103802344,0.32226249933701434,0.30580346763600547,0.2886305403558156,0.26549358508590687,0.24235662981599815,0.21921967454608898,0.19608271927618026,0.18404802940363418,0.1737432331437178,0.16343843688380147,0.1531336406238849,0.14834079447490303,0.14466924830225752,0.14099770212961193,0.13732615595696634,0.13097900082634542,0.12443698256271975,0.11789496429909418,0.11135294603546851,0.10587290885314328,0.10062736263982462,0.09538181642650606,0.09013627021318758,0.08535562891909218,0.08111466241932218,0.07687369591955209,0.07263272941978209,0.06839176292001216,0.06508181749164993,0.06197908157983973,0.05887634566802947,0.05577360975621927,0.05267087384440912,0.050848253491571876,0.04932293531570217,0.04779761713983243,0.04627229896396272,0.04474698078809304,0.043419465733248695,0.042462027384862926,0.041504589036477135
